id,name,section,status,priority,estimatedTime,totalStudentsSignedUp,comment,lastUpdated,updatedBy,actualStartTime,completedTime,signUpSheetPhoto
lot-1,Lot 3 - Library Lot,east,not-started,high,45,0,Zone 1 - East side of River,,,,,
lot-2,Lot 11 - Jail Lot,east,not-started,medium,45,0,Zone 1 - New for 2025,,,,,
lot-3,Lot 55 - Hancher,east,not-started,high,50,0,Zone 1 - East side of River,,,,,
lot-4,Lot 48 - Myrtle,south,not-started,medium,40,0,Zone 2 - South of Melrose Ave,,,,,
lot-5,Lot 53 - Melrose Court,south,not-started,medium,40,0,Zone 2 - South of Melrose Ave,,,,,
lot-6,Lot 49 - Red Barn,south,not-started,medium,45,0,Zone 2 - South of Melrose Ave,,,,,
lot-7,Lot 58 - Adjacent to Lot 49,south,not-started,low,30,0,Zone 2 - New for 2025 - 20 stalls,,,,,
lot-8,Ramp 4 (South Side),south,not-started,medium,40,0,Zone 2 - Not in ramp,,,,,
lot-9,Lot 75 - Arena Commuter,north,not-started,high,50,0,Zone 3 - North of Kinnick Stadium Area,,,,,
lot-10,Lot 46 - Carver,north,not-started,high,50,0,Zone 3 - North of Kinnick Stadium Area,,,,,
lot-11,Lot 40 - Dental Lot,north,not-started,high,50,0,Zone 3 - North of Kinnick Stadium Area,,,,,
lot-12,Lot 65 - Finkbine,north,not-started,medium,45,0,Zone 3 - North of Kinnick Stadium Area,,,,,
lot-13,Lot 43 N - N of Hawkeye Ramp,north,not-started,high,50,0,Zone 4 - Kinnick Stadium Area,,,,,
lot-14,Lot 43 NW - Rec Bldg Area,north,not-started,high,50,0,Zone 4 - Between Rec Bldg & Football Facility,,,,,
lot-15,Lot 43 W - West of Kinnick,west,not-started,high,50,0,Zone 4 - Kinnick Stadium Area,,,,,
lot-16,Lot 85 - Hawkeye Commuter,west,not-started,medium,45,0,Zone 5 - Far West Campus,,,,,
lot-17,Soccer Lot - Lower Finkbine,west,not-started,low,35,0,Zone 5 - Far West Campus,,,,,
lot-18,Softball Lot,west,not-started,low,35,0,Zone 5 - Far West Campus - Coralville,,,,,
lot-19,Lot 71 - Hall of Fame,west,not-started,medium,40,0,Zone 5 - Far West Campus,,,,,
lot-20,Golf Course,west,not-started,low,40,0,Zone 6 - Golf Course Area,,,,,
lot-21,Lot 73 - University Club,west,not-started,medium,40,0,Zone 6 - Golf Course Area,,,,,

